A-_---------n	ADJU
V-_2slia----i	VBD-PRF
V-_2spia----i	VBP-IMPF
V-_2spim----i	VBPP-IMPF
V-_2spip----i	VBPP-IMPF
V-_2spma----i	VBI-IMPF
V-_2spmm----i	VBIP-IMPF
V-_2spmp----i	VBIP-IMPF
V-_2spsa----i	VBS-IMPF
V-_2spsm----i	VBSP-IMPF
V-_2sria----i	VBP-PRF
V-_2srip----i	VBPP-PRF
V-_2srmp----i	VBIP-PRF
V-_2srsa----i	VBS-PRF
V-_3paia----i	VBD-AOR
V-_3paim----i	VBDP-AOR
V-_3paip----i	VBDP-AOR
V-_3pama----i	VBI-AOR
V-_3pamp----i	VBIP-AOR
V-_3paoa----i	VBO-AOR
V-_3pasa----i	VBS-AOR
V-_3pasm----i	VBSP-AOR
V-_3pasp----i	VBSP-AOR
V-_3pfia----i	VBP-FUT
V-_3pfim----i	VBPP-FUT
V-_3pfip----i	VBPP-FUT
V-_3piia----i	VBD-IMPF
V-_3piim----i	VBDP-IMPF
V-_3piip----i	VBDP-IMPF
V-_3plia----i	VBD-PRF
V-_3plim----i	VBDP-PRF
V-_3ppia----i	VBP-IMPF
V-_3ppie----i	VBPP-IMPF
V-_3ppim----i	VBPP-IMPF
V-_3ppip----i	VBPP-IMPF
V-_3ppma----i	VBI-IMPF
V-_3ppmm----i	VBIP-IMPF
V-_3ppmp----i	VBIP-IMPF
V-_3ppsa----i	VBS-IMPF
V-_3ppsm----i	VBSP-IMPF
V-_3ppsp----i	VBSP-IMPF
V-_3pria----i	VBP-PRF
V-_3prip----i	VBPP-PRF
V-_3saia----i	VBD-AOR
V-_3saim----i	VBDP-AOR
V-_3saip----i	VBDP-AOR
V-_3sama----i	VBI-AOR
V-_3samm----i	VBIP-AOR
V-_3samp----i	VBIP-AOR
V-_3saoa----i	VBO-AOR
V-_3saom----i	VBOP-AOR
V-_3saop----i	VBOP-AOR
V-_3sasa----i	VBS-AOR
V-_3sasm----i	VBSP-AOR
V-_3sasp----i	VBSP-AOR
V-_3sfia----i	VBP-FUT
V-_3sfim----i	VBPP-FUT
V-_3sfip----i	VBPP-FUT
V-_3siia----i	VBD-IMPF
V-_3siim----i	VBDP-IMPF
V-_3siip----i	VBDP-IMPF
V-_3slia----i	VBD-PRF
V-_3slip----i	VBDP-PRF
V-_3spia----i	VBP-IMPF
V-_3spie----i	VBPP-IMPF
V-_3spim----i	VBPP-IMPF
V-_3spip----i	VBPP-IMPF
V-_3spma----i	VBI-IMPF
V-_3spmm----i	VBIP-IMPF
V-_3spmp----i	VBIP-IMPF
V-_3spoa----i	VBO-IMPF
V-_3spsa----i	VBS-IMPF
V-_3spsm----i	VBSP-IMPF
V-_3spsp----i	VBSP-IMPF
V-_3sria----i	VBP-PRF
V-_3srim----i	VBPP-PRF
V-_3srip----i	VBPP-PRF
