A-_---------n	ADJU
Pd_-p---na--i	acc.pl
Pd_-p---nd--i	dat.pl
Pd_-p---ng--i	gen.pl
Pd_-p---nn--i	nom.pl
Pd_-p---od--i	dat.pl
Pd_-p---qg--i	gen.pl
Pd_-s---fa--i	acc.sing
Pd_-s---fd--i	dat.sing
Pd_-s---fg--i	gen.sing
Pd_-s---fn--i	nom.sing
Pd_-s---ma--i	acc.sing
Pd_-s---md--i	dat.sing
Pd_-s---mg--i	gen.sing
Pd_-s---mn--i	nom.sing
Pd_-s---na--i	acc.sing
Pd_-s---nd--i	dat.sing
Pd_-s---ng--i	gen.sing
Pd_-s---nn--i	nom.sing
Pd_-s---od--i	dat.sing
Pd_-s---og--i	gen.sing
Pi_-p---fa--i	acc.pl
Pi_-p---fg--i	gen.pl
Pi_-p---fn--i	nom.pl
Pi_-p---ma--i	acc.pl
Pi_-p---mg--i	gen.pl
Pi_-p---mn--i	nom.pl
Pi_-p---na--i	acc.pl
Pi_-p---ng--i	gen.pl
Pi_-p---nn--i	nom.pl
Pi_-p---pg--i	gen.pl
Pi_-s---fa--i	acc.sing
Pi_-s---fd--i	dat.sing
Pi_-s---fg--i	gen.sing
Pi_-s---fn--i	nom.sing
Pi_-s---ma--i	acc.sing
Pi_-s---md--i	dat.sing
Pi_-s---mg--i	gen.sing
Pi_-s---mn--i	nom.sing
Pi_-s---na--i	acc.sing
Pi_-s---nd--i	dat.sing
Pi_-s---nn--i	nom.sing
Pi_-s---od--i	dat.sing
Pi_-s---og--i	gen.sing
Pi_-s---pa--i	acc.sing
Pi_-s---pn--i	nom.sing
Pi_-s---qd--i	dat.sing
Pk_1p---ma--i	PROA+SLF
Pk_1p---md--i	PROD+SLF
Pk_1p---mg--i	PRO$+SLF
Pk_1s---ma--i	PROA+SLF
Pk_1s---md--i	PROD+SLF
Pk_1s---mg--i	PRO$+SLF
Pk_2p---fa--i	PROA+SLF
Pk_2p---fd--i	PROD+SLF
Pk_2p---ma--i	PROA+SLF
Pk_2p---md--i	PROD+SLF
Pk_2p---mg--i	PRO$+SLF
Pk_2s---ma--i	PROA+SLF
Pk_2s---md--i	PROD+SLF
Pk_2s---mg--i	PRO$+SLF
Pk_3p---fa--i	PROA+SLF
Pk_3p---fg--i	PRO$+SLF
Pk_3p---ma--i	PROA+SLF
Pk_3p---md--i	PROD+SLF
Pk_3p---mg--i	PRO$+SLF
Pk_3p---od--i	PROD+SLF
Pk_3s---fa--i	PROA+SLF
Pk_3s---fd--i	PROD+SLF
Pk_3s---fg--i	PRO$+SLF
Pk_3s---ma--i	PROA+SLF
Pk_3s---md--i	PROD+SLF
Pk_3s---mg--i	PRO$+SLF
Pk_3s---ng--i	PRO$+SLF
Pp_1p---fd--i	dat.pl
Pp_1p---fg--i	gen.pl
Pp_1p---ma--i	acc.pl
Pp_1p---md--i	dat.pl
Pp_1p---mg--i	gen.pl
Pp_1p---mn--i	nom.pl
Pp_1p---pa--i	acc.pl
Pp_1p---pd--i	dat.pl
Pp_1p---pg--i	gen.pl
Pp_1p---pn--i	nom.pl
Pp_1p---qa--i	acc.pl
Pp_1p---qd--i	dat.pl
Pp_1p---qg--i	gen.pl
Pp_1p---qn--i	nom.pl
Pp_1s---fa--i	acc.sing
Pp_1s---fd--i	dat.sing
Pp_1s---fg--i	gen.sing
Pp_1s---fn--i	nom.sing
Pp_1s---ma--i	acc.sing
Pp_1s---md--i	dat.sing
Pp_1s---mg--i	gen.sing
Pp_1s---mn--i	nom.sing
Pp_1s---na--i	acc.sing
Pp_1s---nd--i	dat.sing
Pp_1s---pa--i	acc.sing
Pp_1s---pd--i	dat.sing
Pp_1s---pg--i	gen.sing
Pp_1s---pn--i	nom.sing
Pp_1s---qa--i	acc.sing
Pp_1s---qg--i	gen.sing
Pp_1s---qn--i	nom.sing
Pp_2p---ma--i	acc.pl
Pp_2p---md--i	dat.pl
Pp_2p---mg--i	gen.pl
Pp_2p---mn--i	nom.pl
Pp_2p---pa--i	acc.pl
Pp_2p---pd--i	dat.pl
Pp_2p---pg--i	gen.pl
Pp_2p---pn--i	nom.pl
Pp_2p---qd--i	dat.pl
Pp_2p---qg--i	gen.pl
Pp_2s---fg--i	gen.sing
Pp_2s---ma--i	acc.sing
Pp_2s---md--i	dat.sing
Pp_2s---mg--i	gen.sing
Pp_2s---mn--i	nom.sing
Pp_2s---pa--i	acc.sing
Pp_2s---pd--i	dat.sing
Pp_2s---pg--i	gen.sing
Pp_2s---pn--i	nom.sing
Pp_2s---qg--i	gen.sing
Pp_2s---qn--i	nom.sing
Pp_3p---fa--i	acc.pl
Pp_3p---fd--i	dat.pl
Pp_3p---fg--i	gen.pl
Pp_3p---ma--i	acc.pl
Pp_3p---md--i	dat.pl
Pp_3p---mg--i	gen.pl
Pp_3p---mn--i	nom.pl
Pp_3p---na--i	acc.pl
Pp_3p---nd--i	dat.pl
Pp_3p---ng--i	gen.pl
Pp_3p---nn--i	nom.pl
Pp_3s---fa--i	acc.sing
Pp_3s---fd--i	dat.sing
Pp_3s---fg--i	gen.sing
Pp_3s---fn--i	nom.sing
Pp_3s---ma--i	acc.sing
Pp_3s---md--i	dat.sing
Pp_3s---mg--i	gen.sing
Pp_3s---mn--i	nom.sing
Pp_3s---na--i	acc.sing
Pp_3s---nd--i	dat.sing
Pp_3s---ng--i	gen.sing
Pp_3s---nn--i	nom.sing
Pr_-p---fa--i	acc.pl
Pr_-p---fd--i	dat.pl
Pr_-p---fg--i	gen.pl
Pr_-p---fn--i	nom.pl
Pr_-p---ma--i	acc.pl
Pr_-p---md--i	dat.pl
Pr_-p---mg--i	gen.pl
Pr_-p---mn--i	nom.pl
Pr_-p---na--i	acc.pl
Pr_-p---nd--i	dat.pl
Pr_-p---ng--i	gen.pl
Pr_-p---nn--i	nom.pl
Pr_-s---fa--i	acc.sing
Pr_-s---fd--i	dat.sing
